Индекс,,,,,,,Содержание
Тип задач проф. деятельности: ,,,,,,,проектно-конструкторский
,,,,,,ТД.6,Разработка предложений по автоматизации и механизации технологических процессов механосборочного производства
,,,,,B/02.6,,Внедрение средств автоматизации и механизации технологических процессов механосборочного производства
,,,,,,ТД.3,Определение состава и расчет количества работающих при использовании средств автоматизации и механизации технологических процессов
,,,,,,ТД.4,Поиск и выбор моделей средств автоматизации и механизации технологических процессов
,,,40.057,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗИРОВАННЫМ СИСТЕМАМ УПРАВЛЕНИЯ МАШИНОСТРОИТЕЛЬНЫМ ПРЕДПРИЯТИЕМ
,,,,C,,,Разработка АСУП
,,,,,C/01.6,,Определение целесообразности автоматизации процессов управления в организации
,,,,,,ТД.1,"Обследование системы и методов управления и регулирования деятельности организации, ее производственных подразделений"
,,ИД-3<sub><small style='font-size:0.6em;'>ПК-3</small></sub>,,,,,оценивает соответствие полученных проектных решений  в области автоматизации требованиям технического задания 
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,B,,,Автоматизация и механизация технологических процессов механосборочного производства
,,,,,B/02.6,,Внедрение средств автоматизации и механизации технологических процессов механосборочного производства
,,,,,,ТД.5,Составление технических заданий на разработку средств автоматизации и механизации технологических процессов
,,,,,,ТД.9,"Проверка эскизных и технических проектов, рабочих чертежей средств автоматизации и механизации технологических процессов"
,,,40.057,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗИРОВАННЫМ СИСТЕМАМ УПРАВЛЕНИЯ МАШИНОСТРОИТЕЛЬНЫМ ПРЕДПРИЯТИЕМ
,,,,C,,,Разработка АСУП
,,,,,C/01.6,,Определение целесообразности автоматизации процессов управления в организации
,,,,,,ТД.3,Сбор и подготовка данных для составления технического задания на создание АСУП
,ПК-4,,,,,,Способен анализировать соответствие разрабатываемых средств и систем автоматизации современному уровню развития техники и технологии
,,ИД-1<sub><small style='font-size:0.6em;'>ПК-4</small></sub>,,,,,формулирует технические требования к средствам  и системам автоматизации в соответствии с  современным  уровнем развития техники и технологии
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,B,,,Автоматизация и механизация технологических процессов механосборочного производства
,,,,,B/01.6,,"Анализ технологических процессов механосборочного производства с целью выявления операций, подлежащих автоматизации и механизации"
,,,,,,ТД.6,Разработка предложений по автоматизации и механизации технологических процессов механосборочного производства
,,,,,B/02.6,,Внедрение средств автоматизации и механизации технологических процессов механосборочного производства
,,,,,,ТД.1,"Сбор исходных данных для проведения проектных и опытно-конструкторских работ, изготовления средств автоматизации и механизации технологических процессов"
,,,,,,ТД.2,Определение состава и количества средств автоматизации и механизации технологических процессов
,,ИД-2<sub><small style='font-size:0.6em;'>ПК-4</small></sub>,,,,,анализирует  соответствие разрабатываемых средств и систем автоматизации современному уровню развития техники и технологии
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,B,,,Автоматизация и механизация технологических процессов механосборочного производства
,,,,,B/02.6,,Внедрение средств автоматизации и механизации технологических процессов механосборочного производства
,,,,,,ТД.8,Проверка соответствия разрабатываемых средств автоматизации и механизации технологических процессов современному уровню развития техники и технологии
,,ИД-3<sub><small style='font-size:0.6em;'>ПК-4</small></sub>,,,,,корректирует требования к разрабатываемым оригинальным средствам  и системам автоматизации  в соответствии с современным уровнем  развития техники и технологии
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,B,,,Автоматизация и механизация технологических процессов механосборочного производства
,,,,,B/02.6,,Внедрение средств автоматизации и механизации технологических процессов механосборочного производства
,,,,,,ТД.9,"Проверка эскизных и технических проектов, рабочих чертежей средств автоматизации и механизации технологических процессов"
,,,40.057,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗИРОВАННЫМ СИСТЕМАМ УПРАВЛЕНИЯ МАШИНОСТРОИТЕЛЬНЫМ ПРЕДПРИЯТИЕМ
,,,,C,,,Разработка АСУП
,,,,,C/03.6,,Разработка заданий на проектирование оригинальных компонентов АСУП
,,,,,,ТД.1,Определение целей и задач при проектировании оригинальных компонентов АСУП
,ПК-5,,,,,,Способен применять и разрабатывать техническую проектную документацию на средства и системы автоматизации в соответствии с имеющимися стандартами и техническими условиями
,,ИД-1<sub><small style='font-size:0.6em;'>ПК-5</small></sub>,,,,,разрабатывает техническую документацию на средства и системы автоматизации при выполнении проектных работ
,,,40.057,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗИРОВАННЫМ СИСТЕМАМ УПРАВЛЕНИЯ МАШИНОСТРОИТЕЛЬНЫМ ПРЕДПРИЯТИЕМ
,,,,B,,,Ввод в действие АСУП
,,,,,B/01.5,,Разработка методического обеспечения АСУП
,,,,,,ТД.1,Разработка и актуализация эксплуатационной документации на АСУП
,,ИД-2<sub><small style='font-size:0.6em;'>ПК-5</small></sub>,,,,,использует техническую документацию на средства и системы автоматизации при испытаниях и эксплуатации
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,A,,,Автоматизация и механизация технологических операций механосборочного производства
,,,,,A/02.5,,Внедрение средств автоматизации и механизации технологических операций механосборочного производства
,,,,,,ТД.5,"Проверка эскизных и технических проектов, рабочих чертежей средств автоматизации и механизации технологических операций"
,,,,B,,,Автоматизация и механизация технологических процессов механосборочного производства
,,,,,B/02.6,,Внедрение средств автоматизации и механизации технологических процессов механосборочного производства
,,,,,,ТД.9,"Проверка эскизных и технических проектов, рабочих чертежей средств автоматизации и механизации технологических процессов"
,,ИД-3<sub><small style='font-size:0.6em;'>ПК-5</small></sub>,,,,,актуализирует техническую документацию на средства и системы автоматизации  на всех этапах жизненного цикла
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,A,,,Автоматизация и механизация технологических операций механосборочного производства
,,,,,A/02.5,,Внедрение средств автоматизации и механизации технологических операций механосборочного производства
,,,,,,ТД.5,"Проверка эскизных и технических проектов, рабочих чертежей средств автоматизации и механизации технологических операций"
,,,,B,,,Автоматизация и механизация технологических процессов механосборочного производства
,,,,,B/02.6,,Внедрение средств автоматизации и механизации технологических процессов механосборочного производства
,,,,,,ТД.9,"Проверка эскизных и технических проектов, рабочих чертежей средств автоматизации и механизации технологических процессов"
,,,40.057,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗИРОВАННЫМ СИСТЕМАМ УПРАВЛЕНИЯ МАШИНОСТРОИТЕЛЬНЫМ ПРЕДПРИЯТИЕМ
,,,,B,,,Ввод в действие АСУП
,,,,,B/01.5,,Разработка методического обеспечения АСУП
,,,,,,ТД.1,Разработка и актуализация эксплуатационной документации на АСУП
