з.е.,Распределение з.е. по курсам и периодам обучения,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Курс 1,,,,,,,,,Курс 2,,,,,,,,,Курс 3,,,,,,,,,Курс 4,,,,,,,
,,Сем. 1,,,,Сем. 2,,,,,Сем. 3,,,,Сем. 4,,,,,Сем. 5,,,,Сем. 6,,,,,Сем. 7,,,,Сем. 8,,,
,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.02
Теория чисел
[Эк]
ПК-1.1; ПК-1.2; ПК-1.3; ПК-3.1; ПК-3.2; ПК-3.3",4,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
20,,{$},,"Б1.О.12
Аналитическая геометрия
[Эк]
ОПК-1.1; ОПК-1.2; ОПК-1.3",5,{$},,"Б1.О.25
Дискретная математика
[Эк]
ОПК-1.1; ОПК-1.2; ОПК-1.3",5,,{$},,,,{$},,"Б1.О.28
Функциональный анализ
[За]
ОПК-1.1; ОПК-1.2; ОПК-1.3; ОПК-2.1; ОПК-2.2; ОПК-2.3",3,,{$},,,,{$},,,,,{$},,"Б1.В.07
Бакалаврский семинар
[За, КР]
ПК-2.1; ПК-2.2; ПК-2.3; ПК-4.1; ПК-4.2; ПК-4.3",3,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,"Б1.В.09
Основы вычислительного эксперимента
[За]
ПК-3.1; ПК-3.2; ПК-3.3",3,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
21,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
22,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
23,,{$},,,,{$},,,,,{$},,"Б1.О.29
Язык программирования Python для научных вычислений
[За]
ОПК-4.1; ОПК-4.2; ОПК-4.3",2,{$},,"Б1.В.05
Компьютерные сети
[За]
ПК-1.1; ПК-1.2; ПК-1.3",3,,{$},,,,{$},,,,,{$},,"Б1.В.ДВ.01.01
Дисциплины по выбору Б1.В.ДВ.1: Теория рисков
[За]
(/ Численная линейная алгебра)
ПК-2.1; ПК-2.2; ПК-2.3; ПК-3.1; ПК-3.2; ПК-3.3",3,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.08
Основы топологии
[За]
ПК-3.1; ПК-3.2; ПК-3.3",3,{$},,"Б1.В.11
Разностные методы
[За]
ПК-3.1; ПК-3.2; ПК-3.3",3,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
24,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,"Б3.О.01(Д)
выполнение и защита выпускной квалификационной работы
УК-1.1; УК-1.2; УК-1.3; УК-1.4; УК-1.5; УК-2.1; УК-2.2; УК-2.3; УК-2.4; УК-3.1; УК-3.2; УК-3.3; УК-3.4; УК-4.1; УК-4.2; УК-4.3; УК-4.4; УК-4.5; УК-5.1; УК-5.2; УК-5.3; УК-6.1; УК-6.2; УК-6.3; УК-6.4; УК-6.5; УК-7.1; УК-7.2; УК-8.1; УК-8.2; УК-8.3; УК-8.4; УК-9.1; УК-9.2; УК-9.3; УК-10.1; УК-10.2; ОПК-1.1; ОПК-1.2; ОПК-1.3; ОПК-2.1; ОПК-2.2; ОПК-2.3; ОПК-3.1; ОПК-3.2; ОПК-3.3; ОПК-4.1; ОПК-4.2; ОПК-4.3; ПК-1.1; ПК-1.2; ПК-1.3; ПК-2.1; ПК-2.2; ПК-2.3; ПК-3.1; ПК-3.2; ПК-3.3; ПК-4.1; ПК-4.2; ПК-4.3",6
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
25,,{$},,"Б1.О.26
Алгебра
[За]
ОПК-1.1; ОПК-1.2; ОПК-1.3",3,{$},,"Б1.О.26
Алгебра
[Эк]
ОПК-1.1; ОПК-1.2; ОПК-1.3",4,,{$},,"Б1.В.04
Теоретическая механика
[Эк]
ПК-1.1; ПК-1.2; ПК-1.3; ПК-2.1; ПК-2.2; ПК-2.3",4,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
26,,{$},,,,{$},,,,,{$},,,,{$},,"Б1.В.14
Аналитическая механика
[За]
ПК-1.1; ПК-1.2; ПК-1.3; ПК-3.1; ПК-3.2; ПК-3.3",3,,{$},,,,{$},,,,,{$},,"Б1.В.ДВ.02.01
Дисциплины по выбору Б1.В.ДВ.2: Математика сложных процессов
[Эк]
(/ Нейронные сети и их приложения)
ПК-3.1; ПК-3.2; ПК-3.3; ПК-4.1; ПК-4.2; ПК-4.3",5,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,"Б1.В.10
Информационная безопасность и защита информации
[За]
ПК-3.1; ПК-3.2; ПК-3.3",3,{$},,"Б1.В.12
Нечеткая логика и ее приложения
[За]
ПК-1.1; ПК-1.2; ПК-1.3",3,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
27,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
28,,{$},,"Б1.О.30
Физическая культура и спорт
[За]
УК-7.1; УК-7.2",0.5,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
29,,,,,,{$},,"Б1.О.30
Физическая культура и спорт
[За]
УК-7.1; УК-7.2",0.5,,,,,,{$},,"Б2.О.02(У)
Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)
[ЗаО]
ОПК-1.1; ОПК-1.2; ОПК-1.3; ОПК-2.1; ОПК-2.2; ОПК-2.3",3,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,"Б2.О.01(У)
Ознакомительная
[ЗаО]
ОПК-1.1; ОПК-1.2; ОПК-1.3; ОПК-2.1; ОПК-2.2; ОПК-2.3",3,,,,,,{$},,,,,{$},,"ФТД.В.01
Цифровая обработка сигналов
[За]
ПК-2.1; ПК-2.2; ПК-2.3",2,{$},,"Б2.В.01(П)
Научно - исследовательская работа
[ЗаО]
ПК-1.1; ПК-1.2; ПК-1.3; ПК-3.1; ПК-3.2; ПК-3.3",6,,{$},,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
30,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,{$},,,,,,,
31,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,"ФТД.В.02
Пакеты прикладных программ
[За]
ПК-2.1; ПК-2.2; ПК-2.3",2,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,{$},,,,,{$},,,,{$},,,,,,,,,,,,
32,,,,,,{$},,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,{$},,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{$},,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,{$},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
