Индекс,,,Содержание,Тип
,УК-2.3,,Имеет практический опыт применения нормативной базы и решения задач в области избранных видов профессиональной деятельности.,-
,,Б1.О.08,Введение в профессиональную деятельность,
,,Б1.О.18,Базы данных,
,,Б1.В.10,Параллельные вычислительные системы,
,,Б1.В.13,Схемотехника ЭВМ,
,,Б1.В.14,Основы адаптивных систем управления,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
УК-3,,,Способен осуществлять социальное взаимодействие и реализовывать свою роль в команде,УК
,УК-3.1,,Знает различные приемы и способы социализации личности и социального взаимодействия.,-
,,Б1.О.11,Теория  и практика эффективного речевого общения,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-3.2,," Умеет строить отношения с окружающими людьми, с коллегами.",-
,,Б1.О.11,Теория  и практика эффективного речевого общения,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-3.3,,"Имеет практический опыт участия в командной работе, в социальных проектах, распределения ролей в условиях командного взаимодействия.",-
,,Б1.О.11,Теория  и практика эффективного речевого общения,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
УК-4,,,Способен осуществлять деловую коммуникацию в устной и письменной формах на государственном языке Российской Федерации и иностранном(ых) языке(ах),УК
,УК-4.1,,Знать: принципы построения устного и письменного высказывания на русском и иностранном языках; правила и закономерности деловой устной и письменной коммуникации.,-
,,Б1.О.03,Иностранный язык,
,,Б1.О.11,Теория  и практика эффективного речевого общения,
,,Б1.В.19,Профессионально-ориентированный иностранный язык,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,,ФТД.01,Основы академического письма,
,УК-4.2,,"Уметь: применять на практике деловую коммуникацию в устной и письменной формах, методы и навыки делового общения на русском и иностранном языках; методикой составления суждения в межличностном деловом общении на русском и иностранном языках.",-
,,Б1.О.03,Иностранный язык,
,,Б1.О.11,Теория  и практика эффективного речевого общения,
,,Б1.В.19,Профессионально-ориентированный иностранный язык,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,,ФТД.01,Основы академического письма,
,УК-4.3,,Владеть: навыками чтения и перевода текстов на иностранном языке в профессиональном общении; навыками деловых коммуникаций в устной и письменной форме на русском и иностранных языках; методикой составления суждения в межличностном деловом общении на русском и иностранном языках,-
,,Б1.О.03,Иностранный язык,
,,Б1.О.11,Теория  и практика эффективного речевого общения,
,,Б1.В.19,Профессионально-ориентированный иностранный язык,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,,ФТД.01,Основы академического письма,
УК-5,,,"Способен воспринимать межкультурное разнообразие общества в социально-историческом, этическом и философском контекстах",УК
,УК-5.1,,"Знает основные категории философии, законы исторического развития, основы межкультурной коммуникации.",-
,,Б1.О.01,Философия,
,,Б1.О.02,История,
,,Б1.О.02.01,История России,
,,Б1.О.02.02,Всеобщая история,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,,ФТД.02,История вычислительной техники,
,УК-5.2,,Умеет вести коммуникацию с представителями иных национальностей и конфессий с соблюдением этических и межкультурных норм.,-
,,Б1.О.01,Философия,
,,Б1.О.02,История,
,,Б1.О.02.01,История России,
,,Б1.О.02.02,Всеобщая история,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,,ФТД.02,История вычислительной техники,
,УК-5.3,,"Имеет практический опыт анализа философских и исторических фактов, опыт оценки явлений культуры.",-
,,Б1.О.01,Философия,
,,Б1.О.02,История,
,,Б1.О.02.01,История России,
,,Б1.О.02.02,Всеобщая история,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,,ФТД.02,История вычислительной техники,
УК-6,,,"Способен управлять своим временем, выстраивать и реализовывать траекторию саморазвития на основе принципов образования в течение всей жизни",УК
,УК-6.1,,"Знает основные принципы самовоспитания и самообразования, профессионального и личностного развития, исходя из этапов карьерного роста и требований рынка труда.",-
,,Б1.О.01,Философия,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-6.2,,"Умеет планировать свое рабочее время и время для саморазвития. формулировать цели личностного и профессионального развития и условия их достижения, исходя из тенденций развития области профессиональной деятельности, индивидуально-личностных особенностей. 
",-
,,Б1.О.01,Философия,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-6.3,,"Имеет практический опыт получения дополнительного образования, изучения дополнительных образовательных программ.",-
,,Б1.О.01,Философия,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
УК-7,,,Способен поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности,УК
,УК-7.1,,"Знает основы здорового образа жизни, здоровье-сберегающих технологий, физической культуры.",-
,,Б1.О.20,Физическая культура и спорт,
,,Б1.О.21,Прикладная физическая культура и спорт,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-7.2,,Умеет выполнять комплекс физкультурных упражнений.,-
,,Б1.О.20,Физическая культура и спорт,
,,Б1.О.21,Прикладная физическая культура и спорт,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-7.3,,Имеет практический опыт занятий физической культурой.,-
,,Б1.О.20,Физическая культура и спорт,
,,Б1.О.21,Прикладная физическая культура и спорт,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
УК-8,,,"Способен создавать и поддерживать в повседневной жизни и в профессиональной деятельности безопасные условия жизнедеятельности для сохранения природной среды, обеспечения устойчивого развития общества, в том числе при угрозе и возникновении чрезвычайных ситуаций и военных конфликтов",УК
,УК-8.1,,"Знает основы безопасности жизнедеятельности, телефоны служб спасения.",-
,,Б1.О.04,Безопасность жизнедеятельности,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-8.2,,"Умеет оказать первую помощь в чрезвычайных ситуациях, создавать безопасные условия реализации профессиональной деятельности.",-
,,Б1.О.04,Безопасность жизнедеятельности,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-8.3,,Имеет практический опыт поддержания безопасных условий жизнедеятельности.,-
,,Б1.О.04,Безопасность жизнедеятельности,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
УК-9,,,Способен принимать обоснованные экономические решения в различных областях жизнедеятельности,УК
,УК-9.1,,"понимает базовые принципы функционирования экономики и экономического развития, цели и формы участия государства в экономике",-
,,Б1.В.22,Экономическая культура и финансовая грамотность,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-9.2,,применяет методы личного экономического и финансового планирования для достижения текущих и долгосрочных финансовых целей,-
,,Б1.В.22,Экономическая культура и финансовая грамотность,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-9.3,,"использует финансовые инструменты для управления личными финансами, контролирует собственные экономические и финансовые риски",-
,,Б1.В.22,Экономическая культура и финансовая грамотность,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
УК-10,,,Способен формировать нетерпимое отношение к коррупционному поведению,УК
,УК-10.1,,"понимает негативные последствия коррупции как угрозы национальной безопасности государства, а также основные принципы противодействия коррупции в Российской Федерации",-
,,Б1.В.23,Основы профилактики коррупции,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-10.2,,"демонстрирует нетерпимое отношение к коррупции, реализует меры антикоррупционной практики в повседневной жизни и профессиональной деятельности",-
,,Б1.В.23,Основы профилактики коррупции,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
ОПК-1,,,"Способен применять естественнонаучные и общеинженерные знания, методы математического анализа и моделирования, теоретического и экспериментального исследования в профессиональной деятельности;",ОПК
,ОПК-1.1,,"Знать: основы высшей математики, физики, основы вычислительной техники и программирования.",-
,,Б1.О.05,Физика,
,,Б1.О.06,Информатика,
,,Б1.О.09,Алгебра и геометрия,
,,Б1.О.10,Математический анализ,
,,Б1.О.12,Дискретная математика,
,,Б1.О.13,Теория вероятностей и математическая статистика,
,,Б1.О.15,Электротехника и электроника,
,,Б1.О.18,Базы данных,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-1.2,,"Уметь: решать стандартные профессиональные задачи с применением естественнонаучных и обще-инженерных знаний, методов математического анализа и моделирования.",-
,,Б1.О.05,Физика,
,,Б1.О.06,Информатика,
,,Б1.О.09,Алгебра и геометрия,
,,Б1.О.10,Математический анализ,
,,Б1.О.12,Дискретная математика,
,,Б1.О.13,Теория вероятностей и математическая статистика,
,,Б1.О.15,Электротехника и электроника,
,,Б1.О.18,Базы данных,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-1.3,,Иметь навыки: теоретического и экспериментального исследования объектов профессиональной деятельности.,-
,,Б1.О.05,Физика,
,,Б1.О.06,Информатика,
,,Б1.О.09,Алгебра и геометрия,
,,Б1.О.10,Математический анализ,
,,Б1.О.12,Дискретная математика,
,,Б1.О.13,Теория вероятностей и математическая статистика,
,,Б1.О.15,Электротехника и электроника,
,,Б1.О.18,Базы данных,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
ОПК-2,,,"Способен понимать принципы работы современных информационных технологий и программных средств, в том числе отечественного производства, и использовать их при решении задач профессиональной деятельности;",ОПК
,ОПК-2.1,,"Знать: современные информационные технологии и программные средства, в том числе отечественного производства, при решении задач профессиональной деятельности.",-
,,Б1.О.06,Информатика,
,,Б1.О.14,Операционные системы,
,,Б2.О.02(П),Эксплуатационная практика,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-2.2,,"Уметь: выбирать современные информационные технологии и программные средства, в том числе отечественного производства, при решении задач профессиональной деятельности.",-
,,Б1.О.06,Информатика,
,,Б1.О.14,Операционные системы,
,,Б2.О.02(П),Эксплуатационная практика,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-2.3,,"Иметь навыки: применения современных информационных технологий и программных средств, в том числе отечественного производства, при решении задач профессиональной деятельности.",-
,,Б1.О.06,Информатика,
,,Б1.О.14,Операционные системы,
,,Б2.О.02(П),Эксплуатационная практика,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
ОПК-3,,,Способен решать стандартные задачи профессиональной деятельности на основе информационной и библиографической культуры с применением информационно-коммуникационных технологий и с учетом основных требований информационной безопасности;,ОПК
,ОПК-3.1,,"Знать: принципы, методы и средства решения стандартных задач профессиональной деятельности на основе информационной и библиографической культуры с применением информационно-коммуникационных технологий и с учетом основных требований информационной безопасности.",-
,,Б1.О.17,Сети и телекоммуникации,
,,Б1.О.19,Информационная безопасность и защита информации,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-3.2,,Уметь: решать стандартные задачи профессиональной деятельности на основе информационной и библиографической культуры с применением информационно-коммуникационных технологий и с учетом основных требований информационной безопасности.,-
,,Б1.О.17,Сети и телекоммуникации,
,,Б1.О.19,Информационная безопасность и защита информации,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-3.3,,"Иметь навыки: подготовки обзоров, аннотаций, составления рефератов, научных докладов, публикаций, и библиографии по научно-исследовательской работе с учетом требований информационной безопасности.",-
,,Б1.О.17,Сети и телекоммуникации,
,,Б1.О.19,Информационная безопасность и защита информации,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
ОПК-4,,,"Способен участвовать в разработке стандартов, норм и правил, а также технической документации, связанной с профессиональной деятельностью;",ОПК
,ОПК-4.1,,Знать: основные стандарты оформления технической документации на различных стадиях жизненного цикла информационной системы.,-
,,Б1.О.16,ЭВМ и периферийные устройства,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-4.2,,Уметь: применять стандарты оформления технической документации на различных стадиях жизненного цикла информационной системы.,-
,,Б1.О.16,ЭВМ и периферийные устройства,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-4.3,,Иметь навыки: составления технической документации на различных этапах жизненного цикла информационной системы.,-
,,Б1.О.16,ЭВМ и периферийные устройства,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
ОПК-5,,,Способен инсталлировать программное и аппаратное обеспечение для информационных и автоматизированных систем;,ОПК
,ОПК-5.1,,"Знать: основы системного администрирования, администрирования СУБД, современные стандарты информационного взаимодействия систем.",-
,,Б1.О.14,Операционные системы,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-5.2,,Уметь: выполнять параметрическую настройку ИС.,-
,,Б1.О.14,Операционные системы,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-5.3,,Иметь навыки: инсталляции программного и аппаратного обеспечения информационных и автоматизированных систем.,-
,,Б1.О.14,Операционные системы,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
ОПК-6,,,"Способен разрабатывать бизнес-планы и технические задания на оснащение отделов, лабораторий, офисов компьютерным и сетевым оборудованием;",ОПК
,ОПК-6.1,,"Знать: принципы формирования и структуру бизнес-планов и технических заданий на оснащение отделов, лабораторий, офисов компьютерным и сетевым оборудованием",-
,,Б1.О.17,Сети и телекоммуникации,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-6.2,,"Уметь: разрабатывать бизнес-планы и технические задания на оснащение отделов, лабораторий, офисов компьютерным и сетевым оборудованием",-
,,Б1.О.17,Сети и телекоммуникации,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-6.3,,"Иметь навыки: разработки бизнес-планов и технических заданий на оснащение отделов, лабораторий, офисов компьютерным и сетевым оборудованием",-
,,Б1.О.17,Сети и телекоммуникации,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
ОПК-7,,,Способен участвовать в настройке и наладке программно-аппаратных комплексов;,ОПК
,ОПК-7.1,,Знать: методику настройки и наладки программно-аппаратных комплексов,-
,,Б1.О.08,Введение в профессиональную деятельность,
,,Б1.О.16,ЭВМ и периферийные устройства,
,,Б1.О.17,Сети и телекоммуникации,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-7.2,,Уметь: производить коллективную настройку и наладку программно-аппаратных комплексов,-
,,Б1.О.08,Введение в профессиональную деятельность,
,,Б1.О.16,ЭВМ и периферийные устройства,
,,Б1.О.17,Сети и телекоммуникации,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-7.3,,Иметь навыки: коллективной настройки и наладки программно-аппаратных комплексов,-
,,Б1.О.08,Введение в профессиональную деятельность,
,,Б1.О.16,ЭВМ и периферийные устройства,
,,Б1.О.17,Сети и телекоммуникации,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
ОПК-8,,,"Способен разрабатывать алгоритмы и программы, пригодные для практического применения;",ОПК
,ОПК-8.1,,"Знать: основные языки программирования и работы с базами данных, операционные системы и оболочки, современные программные среды разработки информационных систем и технологий.",-
,,Б1.О.06,Информатика,
,,Б1.О.07,Основы программирования,
,,Б1.О.18,Базы данных,
,,Б2.О.01(У),Ознакомительная практика,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-8.2,,"Уметь: применять языки программирования и работы с базами данных, современные программные среды разработки информационных систем и технологий для автоматизации бизнес-процессов, решения прикладных задач различных классов, ведения баз данных и информационных хранилищ.",-
,,Б1.О.06,Информатика,
,,Б1.О.07,Основы программирования,
,,Б1.О.18,Базы данных,
,,Б2.О.01(У),Ознакомительная практика,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-8.3,,"Иметь навыки: программирования, отладки и тестирования прототипов программно-технических комплексов задач.",-
,,Б1.О.06,Информатика,
,,Б1.О.07,Основы программирования,
,,Б1.О.18,Базы данных,
,,Б2.О.01(У),Ознакомительная практика,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
ОПК-9,,,Способен осваивать методики использования программных средств для решения практических задач.,ОПК
,ОПК-9.1,,Знать: методики использования программных средств для решения практических задач,-
,,Б1.О.06,Информатика,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-9.2,,Уметь: использовать программные средства для решения практических задач,-
,,Б1.О.06,Информатика,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ОПК-9.3,,Иметь навыки: использования программных средств для решения практических задач,-
,,Б1.О.06,Информатика,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
ПК-1,,,"Способен осуществлять концептуальное, функциональное и логическое проектирование программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений",-
,ПК-1.1,,"•	Знать методы, средства, технологии выполнения научно-исследовательских работ в ходе проектирования программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений
•	Знать методы, средства, приёмы концептуального, функционального и логического проектирования программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений
•	Знать структуры операционных автоматов и управляющих автоматов с жесткой и программируемой логикой; основы построения функциональных схем комбинационных и последовательностных цифровых устройств; принципы и методы функционального и логического проектирования конечных цифровых автоматов и систем на их основе; принцип микропрограммного управления
•	Знать: типовые архитектурные решения, базовые архитектурные шаблоны проектирования; критерии качества архитектуры, понятие чистой архитектуры; фазы процесса проектирования ПО, модели управления разработкой.",-
,,Б1.В.01,Алгоритмы и структуры данных,
,,Б1.В.02,Междисциплинарный курсовой проект базового уровня,
,,Б1.В.03,Основы проектирования программного обеспечения,
,,Б1.В.06,Решение оптимизационных задач программными средствами,
,,Б1.В.07,Прикладная теория цифровых автоматов,
,,Б1.В.09,Методы и системы принятия решений,
,,Б1.В.10,Параллельные вычислительные системы,
,,Б1.В.14,Основы адаптивных систем управления,
,,Б1.В.16,Микропроцессорные системы,
,,Б1.В.ДВ.01.02,Программное обеспечение автономных систем,
,,Б1.В.ДВ.03.02,Гибридные вычислительные системы,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(П),Преддипломная,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ПК-1.2,,"•	Уметь выполнять научно-исследовательские работы в ходе проектирования программных, программно-аппаратных, инфокоммуникационных средств и интеграционных решений
•	Уметь осуществлять концептуальное, функциональное и логическое проектирование программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений
•	Уметь решать задачи связанные с проектированием конечных цифровых автоматов и систем на их основе, с разработкой алгоритмов и микропрограмм их функционирования
•	Уметь: находить в проекте места применения шаблонов проектирования с учетом их особенностей и особенностей решаемой задачи; оценивать качество архитектурных решений, предлагать варианты их улучшения; участвовать в командной разработке ПО, управлять командой, используя различные модели разработки.",-
,,Б1.В.01,Алгоритмы и структуры данных,
,,Б1.В.02,Междисциплинарный курсовой проект базового уровня,
,,Б1.В.03,Основы проектирования программного обеспечения,
,,Б1.В.06,Решение оптимизационных задач программными средствами,
,,Б1.В.07,Прикладная теория цифровых автоматов,
,,Б1.В.09,Методы и системы принятия решений,
,,Б1.В.10,Параллельные вычислительные системы,
,,Б1.В.14,Основы адаптивных систем управления,
,,Б1.В.16,Микропроцессорные системы,
,,Б1.В.ДВ.01.02,Программное обеспечение автономных систем,
,,Б1.В.ДВ.03.02,Гибридные вычислительные системы,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(П),Преддипломная,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ПК-1.3,,"•	Владеть навыками выполнения научно-исследовательских работ в ходе проектирования программных, программно-аппаратных, инфокоммуникационных средств 
•	Владеть методами, средствами, приёмами концептуального, функционального и логического проектирования программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений
•	Владеть навыками применения принципов и методов обоснования принимаемых проектных решений, навыками проведения итерационной корректировки принимаемых проектных решений по созданию и разработке конечных цифровых автоматов, функционально-логическому моделированию отдельных логических элементов и конечных цифровых автоматов на их основе
•	Владеть: языком UML, инструментами моделирования – plantuml или аналогами; PIN-нотацией (Pattern Instance Notation), навыками эскизирования архитектуры ПО; навыками и инструментальными средствами командной разработки.",-
,,Б1.В.01,Алгоритмы и структуры данных,
,,Б1.В.02,Междисциплинарный курсовой проект базового уровня,
,,Б1.В.03,Основы проектирования программного обеспечения,
,,Б1.В.06,Решение оптимизационных задач программными средствами,
,,Б1.В.07,Прикладная теория цифровых автоматов,
,,Б1.В.09,Методы и системы принятия решений,
,,Б1.В.10,Параллельные вычислительные системы,
,,Б1.В.14,Основы адаптивных систем управления,
,,Б1.В.16,Микропроцессорные системы,
,,Б1.В.ДВ.01.02,Программное обеспечение автономных систем,
,,Б1.В.ДВ.03.02,Гибридные вычислительные системы,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(П),Преддипломная,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
ПК-2,,,"Способен выполнять работы и управлять работами по созданию (модификации) и сопровождению программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений",-
,ПК-2.1,,"•	Знать методы, средства, приёмы выполнения работ и управления работами по созданию (модификации) и сопровождению программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений
•	Знать: основные параметры и характеристики элементной базы вычислительной техники, типовые узлы, методики их испытаний, программное обеспечение для проектирования и испытания аппаратных средств вычислительной техники.
•	Знать: принципы построения клиент-серверных приложений, протоколы их взаимодействия. REST API, RPC. Форматы XML, JSON; шаблоны проектирования, используемые при построении информационных систем; принципы формирования команд разработчиков и тестировщиков. Принципы «Чистой архитектуры».",-
,,Б1.В.01,Алгоритмы и структуры данных,
,,Б1.В.10,Параллельные вычислительные системы,
,,Б1.В.14,Основы адаптивных систем управления,
,,Б1.В.17,Программируемые логические интегральные схемы,
,,Б1.В.20,Междисциплинарный курсовой прект,
,,Б1.В.ДВ.01.02,Программное обеспечение автономных систем,
,,Б1.В.ДВ.02.02,Организация процесса проектирования программного обеспечения,
,,Б1.В.ДВ.04.02,Программное  обеспечение мобильных систем,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(П),Преддипломная,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ПК-2.2,,"•	Уметь выполнять работы и управлять работами по созданию (модификации) и сопровождению программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений
•	Уметь: разрабатывать узы и модули аппаратных средств вычислительной техники
•	Уметь: разрабатывать протокол взаимодействия клиент-серверных приложений, а также реализовывать и тестировать его;  выбрать наиболее подходящее архитектурное решение для реализации приложения с учетом технического задания, а также возможных направлений расширения системы; оценивать трудоемкость задач, а также производительность членов команды, распределять задачи с учетом приоритетов и зависимостей, контролировать их выполнение.",-
,,Б1.В.01,Алгоритмы и структуры данных,
,,Б1.В.10,Параллельные вычислительные системы,
,,Б1.В.14,Основы адаптивных систем управления,
,,Б1.В.17,Программируемые логические интегральные схемы,
,,Б1.В.20,Междисциплинарный курсовой прект,
,,Б1.В.ДВ.01.02,Программное обеспечение автономных систем,
,,Б1.В.ДВ.02.02,Организация процесса проектирования программного обеспечения,
,,Б1.В.ДВ.04.02,Программное  обеспечение мобильных систем,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(П),Преддипломная,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ПК-2.3,,"•	Владеть методами, средствами, приёмами выполнения работ и управления работами по созданию (модификации) и сопровождению программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений
•	Владеть: инструментами и методами проектирования и тестирования аппаратных средств вычислительной техники
•	Владеть: инструментами тестирования API – Google Postman и т.п.; языком моделирования UML и соответствующими инструментами; системами управления проектами – Jira и т.п.",-
,,Б1.В.01,Алгоритмы и структуры данных,
,,Б1.В.10,Параллельные вычислительные системы,
,,Б1.В.14,Основы адаптивных систем управления,
,,Б1.В.17,Программируемые логические интегральные схемы,
,,Б1.В.20,Междисциплинарный курсовой прект,
,,Б1.В.ДВ.01.02,Программное обеспечение автономных систем,
,,Б1.В.ДВ.02.02,Организация процесса проектирования программного обеспечения,
,,Б1.В.ДВ.04.02,Программное  обеспечение мобильных систем,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(П),Преддипломная,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
