,,,,У.1,Применять современные разработки и тенденции в области проектирования ПО в профессиональной деятельности
,,,,У.2,Выбирать код для программного средства
,,,,Зн.1,Стили написания кода
,,,,Зн.4,"Основные концепции и атрибуты качества программного обеспечения (надежности, безопасности, удобства использования)"
,,,E/19.5,,Постановка задачи на разработку компонентов
,,,,ТД.1,"Описание постановки задачи на разработку компонентов (характеристики, назначение, периодичность и продолжительность решения, описание входных данных)"
,,,,ТД.2,"Описание алгоритм решений поставленной задачи, выходных сообщений"
,,,,У.1,Ставить задачи для разработки компонентов
,,,,Зн.1,Алгоритмы решения разработки компонентов
,,F,,,Контроль реализации программного средства
,,,F/01.5,,Идентификация и регистрация возможных проблем из-за деталей реализации компонент программных средств
,,,,ТД.3,"Определение функций, реализуемых программным средством"
,,,,У.2,Читать программные коды
,,,,Зн.3,"Основные концепции и атрибуты качества программного обеспечения (надежности, безопасности, удобства использования)"
,,,,Зн.6,Программные коды
,25.027,,,,СПЕЦИАЛИСТ ПО РАЗРАБОТКЕ АППАРАТУРЫ БОРТОВЫХ КОСМИЧЕСКИХ СИСТЕМ
,,A,,,Операционно-техническое сопровождение разработки функциональных узлов бортовой аппаратуры (БА) космических аппаратов (КА)
,,,A/01.5,,Техническое сопровождение выпуска КД в процессе разработки БА КА
,,,,У.2,Работать в системах автоматизированного проектирования (САПР)
,,,,Зн.3,Основы электроники в объеме выполняемой функции
,,,,Зн.6,Основы схемотехники функциональных узлов БА КА в объеме выполняемой функции
,,,A/02.5,,Проведение расчетов для разработки функциональных узлов БА КА
,,,,У.5,Работать в САПР
,,,,Зн.2,Основы электроники в объеме выполняемой функции
,,,,Зн.5,Основы схемотехники функциональных узлов БА КА в объеме выполняемой функции
,,,A/03.5,,Проведение испытаний функциональных узлов БА КА
,,,,Зн.7,Основы электроники в объеме выполняемой функции
,,,,Зн.10,Основы схемотехники функциональных узлов БА КА в объеме выполняемой функции
,,B,,,Модернизация и техническое сопровождение разработки БА КА
,,,B/01.6,,Разработка технической документации для БА КА на основе модернизируемых технических решений
,,,,ТД.3,Модернизация технических решений по разработке БА КА
,,,,У.1,Использовать типовые технические решения функциональных узлов и блоков БА КА для разработки БА КА
,,,,У.6,Работать в САПР
,,,,Зн.7,Основы электроники в объеме выполняемой функции
,,,,Зн.8,Основы проектирования и конструирования РЭА в объеме выполняемой функции
,,,,Зн.10,Основы схемотехники функциональных узлов БА КА в объеме выполняемой функции
,,,B/03.6,,"Проведение исследований и испытаний БА КА и входящих в нее функциональных узлов, разработанных на основе модернизируемых технических решений"
,,,,У.8,Работать в САПР
,25.036,,,,СПЕЦИАЛИСТ ПО ЭЛЕКТРОНИКЕ БОРТОВЫХ КОМПЛЕКСОВ УПРАВЛЕНИЯ
,,A,,,Документальное и операционно-техническое сопровождение процесса создания и эксплуатации электронных средств и электронных систем бортовых комплексов управления (БКУ)
,,,A/01.5,,Документальное сопровождение процесса создания и эксплуатации электронных средств и электронных систем БКУ
,,,,У.1,"Осуществлять поиск и использование информации, необходимой для эффективного выполнения профессиональных задач"
,,,,У.2,Работать с доступными источниками информации и базами данных
,,,A/02.5,,Операционное сопровождение процесса создания электронных средств и электронных систем БКУ
,,,,Зн.5,Аналоговая и цифровая схемотехника
,,B,,,Создание электронных средств и электронных систем БКУ
,,,B/01.6,,Проведение исследований электронных средств и электронных систем БКУ
,,,,ТД.5,Выполнение научно-исследовательских и опытно-конструкторских работ электронных средств и электронных систем БКУ
,,,,У.1,"Осуществлять поиск, хранение, обработку и анализ информации из различных источников и баз данных, применяя современные информационные, компьютерные и сетевые технологии"
,,,,У.11,"Осваивать новые образцы программных, технических средств и информационных технологий"
,,,,Зн.7,Аналоговая и цифровая схемотехника
,,,B/02.6,,Проектирование электронных средств и электронных систем БКУ и осуществление контроля над их изготовлением
,,,,У.1,"Осуществлять поиск, хранение, обработку и анализ информации из различных источников и баз данных, применяя современные информационные, компьютерные и сетевые технологии"
,,,,У.3,"Работать в информационно-коммуникационном пространстве, производить расчеты с использованием программных средств общего и специального назначения"
,,,,У.4,"Использовать языки, системы и инструментальные средства программирования в профессиональной деятельности"
,,,,Зн.6,Аналоговая и цифровая схемотехника
,,,,Зн.7,Электротехника и электроника
,,,B/04.6,,Планирование и контроль технического обслуживания и ремонта электронных средств и электронных систем БКУ
,,,,У.1,"Осуществлять поиск, хранение, обработку и анализ информации из различных источников и баз данных, применяя современные информационные, компьютерные и сетевые технологии"
,,,,У.2,Работать с современными системами автоматизированного проектирования и системами электронного документооборота
,,,,Зн.5,Цифровая и аналоговая электроника
,40.040   ,,,,ИНЖЕНЕР В ОБЛАСТИ РАЗРАБОТКИ ЦИФРОВЫХ БИБЛИОТЕК СТАНДАРТНЫХ ЯЧЕЕК И СЛОЖНОФУНКЦИОНАЛЬНЫХ БЛОКОВ
,,A,,,Разработка электрических схем и характеризация стандартных ячеек библиотеки
,,,A/01.6,,Разработка электрических схем стандартных ячеек библиотеки
,,,,ТД.1,Разработка электрических принципиальных схем стандартных ячеек библиотеки
,,,,У.3,"Проектировать электрические схемы логических элементов, реализующие требуемые логические функции"
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов
,,,A/02.6,,Определение основных статических и динамических характеристик стандартных ячеек библиотеки
,,,,У.2,Использовать функциональные возможности и способы применения программных пакетов систем автоматизированного проектирования
,,,,У.6,"Проектировать электрические схемы, реализующие требуемые логические функции"
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов
,,,,Зн.7,Характеристики современных систем автоматизированного проектирования микроэлектроники и методы решения задач технологического и схемотехнического проектирования
,,,A/03.6,,"Характеризация стандартных ячеек библиотеки, генерация файлов"
,,,,У.2,Проектировать электрические схемы тестирования логических элементов
,,,,Зн.5,Методы расчета и проектирования цифровых устройств
,,C,,,"Разработка поведенческих описаний моделей стандартных ячеек, разработка технической документации на состав библиотеки стандартных ячеек"
,,,C/01.6,,Поведенческое описание и тестирование моделей стандартных ячеек библиотеки
,,,,У.2,Использовать целевые системы автоматизированного проектирования
,,,,Зн.3,Основы построения цифровых устройств
,,,C/02.6,,"Функционально-логическое моделирование стандартных ячеек библиотеки, проверка соответствия функционирования поведенческих моделей и электрических схем стандартных ячеек библиотеки"
,,,,ТД.1,Функционально-логическое моделирование стандартных ячеек библиотеки
,,,,У.3,Использовать техническую документацию и современные информационные технологии для решения поставленных задач
,,,,У.5,"Проектировать электрические схемы цифровых электронных устройств, реализующие требуемые логические функции"
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов
,,,C/03.6,,Разработка технической документации на библиотеку стандартных ячеек
,,,,Зн.2,"Стандартные, полузаказные и заказные большие и сверхбольшие интегральные схемы и системы на кристалле"
,,,,Зн.4,Основные принципы построения электрических схем простейших элементов
ПК-2,,,,,"Способен выполнять работы и управлять работами по созданию (модификации) и сопровождению программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений"
,06.003,,,,АРХИТЕКТОР ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ
,,A,,,Создание вариантов архитектуры программного средства
,,,A/02.4,,Определение перечня возможных архитектур развертывания каждого компонента
,,,,Др.2,Межличностное общение
,,,A/13.4,,Определение входных-выходных данных каждого компонента и программного средства в целом
,,,,Др.1,Межличностное общение
,,B,,,Документирование архитектуры программных средств
,,,B/01.4,,Разработка документации программных средств в своей части
,,,,ТД.1,Описание информации по программным средствам в регламентирующих документах
,,,,У.1,Писать документацию
,,,,Зн.1,Требования по написанию документации
,,,B/02.4,,Поддержка изменений в документации
,,,,ТД.1,"Внесение изменений, замечаний, корректировок в регламентирующие документы"
,,,,У.1,Писать документацию
,,,,Зн.1,Требования к написанию документации
,,C,,,Реализация программных средств
,,,C/03.4,,Технические и управленческие ревизии создаваемого программного средства
,,,,ТД.1,Конструирование программных средств
,,E,,,Оценка и выбор варианта архитектуры программного средства
,,,E/19.5,,Постановка задачи на разработку компонентов
,,,,ТД.1,"Описание постановки задачи на разработку компонентов (характеристики, назначение, периодичность и продолжительность решения, описание входных данных)"
,,,,ТД.2,"Описание алгоритм решений поставленной задачи, выходных сообщений"
,,,,У.1,Ставить задачи для разработки компонентов
,,,,Зн.1,Алгоритмы решения разработки компонентов
,,F,,,Контроль реализации программного средства
,,,F/01.5,,Идентификация и регистрация возможных проблем из-за деталей реализации компонент программных средств
,,,,ТД.3,"Определение функций, реализуемых программным средством"
,,,,ТД.6,Прочтение программных кодов
,,,,У.2,Читать программные коды
,,,,Зн.4,Технические требования к программному средству
,,G,,,Контроль сопровождения программных средств
,,,G/02.5,,"Идентификация возможных проблем, путей их решения"
,,,,У.1,Прогнозировать события
,06.028,,,,СИСТЕМНЫЙ ПРОГРАММИСТ
,,A,,,Разработка компонентов системных программных продуктов
,,,A/02.6,,"Разработка компиляторов, загрузчиков, сборщиков"
,,,,ТД.2,"Изучение технической документации по языку программирования, системе команд процессора устройства, адресации памяти и регистров процессора устройства"
,,,,ТД.4,"Написание исходного кода компиляторов, загрузчиков, сборщиков"
,,,,ТД.5,"Отладка компиляторов, загрузчиков, сборщиков"
,,,,У.2,Применять технологию разработки компиляторов
,,,,Зн.5,Технологии разработки компиляторов
,,,,Зн.7,Методы и основные этапы трансляции
,06.041,,,,СПЕЦИАЛИСТ ПО ИНТЕГРАЦИИ ПРИКЛАДНЫХ РЕШЕНИЙ
,,C,,,Выполнение работ по созданию (модификации) и сопровождению интеграционных решений
,,,C/01.6,,Инженерно-технологическая поддержка процесса согласования требований к интеграционному решению
,,,,ТД.1,Анализ требований заказчика к интеграционному решению
,,,,ТД.2,Определение возможности достижения соответствия интеграционного решения первоначальным требованиям заказчика
,,,,ТД.3,Подготовка фрагментов технического задания на создание (модификацию) интеграционного решения
,,,,ТД.4,Информирование заказчика о возможностях и технологиях создания (модификации) и ввода в эксплуатацию интеграционных решений
,,,,ТД.5,Оценка и согласование объемов работ и сроков их выполнения
,,,,У.1,Анализировать требования заказчика к интеграционному решению
,,,,У.2,Вырабатывать варианты реализации требований заказчика к интеграционному решению
,,,,У.3,Создавать инженерную документацию на интеграционное решение
,,,,У.4,Оценивать объемы работ и сроки их выполнения
,,,,У.5,Осуществлять коммуникации с заинтересованными сторонами
,,,,Зн.1,Принципы и технологии функционирования современных интеграционных платформ
,,,,Зн.2,Современные стандарты информационного взаимодействия систем
,,,,Зн.3,Программные средства и платформы инфраструктуры информационных технологий организаций
,,,,Зн.4,Методы оценки объемов и сроков выполнения работ
,,,,Зн.5,Технологии выполнения работ в организации
,,,,Зн.6,"Технологии межличностной и групповой коммуникации в деловом взаимодействии, основы конфликтологии"
,,,,Зн.7,Правила деловой переписки
,,,C/02.6,,Конфигурирование интеграционного решения на базе интеграционной платформы
,,,,ТД.1,Развертывание и настройка выбранной интеграционной платформы в соответствии с техническими спецификациями на интеграционное решение
,,,,ТД.2,"Сборка программных модулей, сервисов и компонент интеграционного решения на базе выбранной интеграционной платформы в соответствии с техническими спецификациями"
,,,,ТД.3,Подключение интеграционного решения к компонентам внешней среды
,,,,ТД.4,Проверка работоспособности интеграционного решения
,,,,ТД.5,Оценка и согласование сроков выполнения поставленных задач
,,,,У.1,Выполнять процедуры развертывания и настройки выбранной интеграционной платформы
,,,,У.2,"Выполнять процедуры сборки программных модулей, сервисов и компонент интеграционного решения в соответствии с техническим заданием"
,,,,У.3,Производить настройки параметров выбранной интеграционной платформы
,,,,У.4,Производить оценку работоспособности интеграционного решения
,,,,У.5,"Документировать произведенные действия, выявленные проблемы и способы их устранения"
,,,,У.6,Выявлять соответствие требований заказчика развернутому интеграционному решению
,,,,У.7,"Настраивать и обслуживать систему резервирования, восстановления и обеспечения целостности интеграционного решения"
,,,,Зн.1,Принципы и технологии функционирования выбранной интеграционной платформы
,,,,Зн.2,"Типовые ошибки, возникающие при развертывании и настройке интеграционного решения и его компонент, и признаки их проявления"
,,,,Зн.3,Современные стандарты информационного взаимодействия систем
,,,,Зн.4,Программные средства и платформы инфраструктуры информационных технологий организаций
,,,,Зн.5,"Методы и средства сборки и интеграции программных модулей, сервисов и компонент"
,,,,Зн.6,Методы оценки объемов и сроков выполнения работ
,,,,Зн.7,Технологии выполнения работ в организации
,,,C/03.6,,Исправление ошибок в процессе эксплуатации интеграционного решения
,,,,ТД.1,Анализ отклонений от штатного режима работы интеграционного решения и их устранение
,,,,ТД.2,Внесение изменений в интеграционное решение для устранения ошибок
,,,,ТД.3,Подготовка технической документации на изменение интеграционного решения для устранения ошибок
,,,,У.1,Производить оценку работоспособности интеграционного решения
,,,,У.2,"Документировать произведенные действия, выявленные проблемы и способы их устранения"
,,,,У.3,Применять методы и средства проверки работоспособности интеграционного решения
,,,,У.4,"Применять методы и средства управления запросами на изменения, выявления дефектов и проблем, причин их возникновения"
,,,,У.5,Создавать инженерную документацию
,,,,У.6,Оценивать объемы работ и сроки их выполнения
,,,,У.7,Осуществлять коммуникации с заинтересованными сторонами
,,,,Зн.1,"Типовые ошибки, возникающие при работе интеграционного решения и его компонент, и признаки их проявления"
,,,,Зн.2,"Методы устранения типовых ошибок, возникающих при работе интеграционного решения"
,,,,Зн.3,"Внутренние нормативные документы, регламентирующие порядок регистрации и обработки запросов, учета отклонений"
,,,,Зн.4,Технические условия соглашения об уровне обслуживания сопровождаемого интеграционного решения
,,,C/04.6,,Разработка технической документации на интеграционное решение
,,,,ТД.1,Подготовка технической документации на развертывание и настройку интеграционного решения
,,,,ТД.2,Подготовка документации пользователя интеграционного решения
,,,,ТД.3,Подготовка программы и методики испытаний интеграционного решения в соответствии с техническим заданием
,,,,ТД.4,Подготовка тестовых наборов данных в соответствии с выбранной программой и методикой испытаний
,,,,ТД.5,Оценка и согласование сроков выполнения поставленных задач
,,,,У.1,Разрабатывать техническую документацию на развертывание и настройку интеграционного решения
,,,,У.2,Разрабатывать документацию пользователя интеграционного решения
,,,,У.3,Разрабатывать и оформлять программу и методику испытаний интеграционного решения на основе технического задания
,,,,У.4,Разрабатывать тестовые наборы данных в соответствии с выбранной программой и методикой испытаний интеграционного решения
,,,,Зн.1,Методы создания и документирования контрольных примеров и тестовых наборов данных
,,,,Зн.2,"Правила, алгоритмы и технологии создания тестовых наборов данных"
,,,,Зн.3,Требования к структуре и форматам хранения тестовых наборов данных
,,,,Зн.4,"Внутренние нормативные документы, регламентирующие порядок документирования результатов тестирования и испытаний"
,,,,Зн.5,Государственные стандарты по испытанию автоматизированных систем
,,,,Зн.6,Руководящие документы по стандартизации требований к документам автоматизированных систем
,25.027,,,,СПЕЦИАЛИСТ ПО РАЗРАБОТКЕ АППАРАТУРЫ БОРТОВЫХ КОСМИЧЕСКИХ СИСТЕМ
,,A,,,Операционно-техническое сопровождение разработки функциональных узлов бортовой аппаратуры (БА) космических аппаратов (КА)
,,,A/01.5,,Техническое сопровождение выпуска КД в процессе разработки БА КА
,,,,ТД.1,Оформление КД БА КА
,,,A/02.5,,Проведение расчетов для разработки функциональных узлов БА КА
,,,,ТД.1,Анализ входных данных для выполнения расчетов при разработке функциональных узлов БА КА
,,,,У.4,Рассчитывать характеристики электрических цепей для разработки функциональных узлов БА КА
,,,,У.6,Оформлять документы в соответствии с требованиями стандартов ЕСКД
,,,A/03.5,,Проведение испытаний функциональных узлов БА КА
,,,,У.3,Отрабатывать монтаж и демонтаж БА КА
,,,,У.9,Оформлять документы в соответствии с требованиями стандартов ЕСКД
,,B,,,Модернизация и техническое сопровождение разработки БА КА
,,,B/01.6,,Разработка технической документации для БА КА на основе модернизируемых технических решений
,,,,У.7,Оформлять документы в соответствии с требованиями стандартов ЕСКД
,,,B/02.6,,Техническое сопровождение изготовления БА КА и осуществление авторского надзора
,,,,ТД.6,Контроль выполнения требований КД при сборке БА КА
,,,,У.5,Оформлять документы в соответствии с требованиями стандартов ЕСКД
,,,B/03.6,,"Проведение исследований и испытаний БА КА и входящих в нее функциональных узлов, разработанных на основе модернизируемых технических решений"
,,,,У.9,Оформлять документы в соответствии с требованиями стандартов ЕСКД
,25.036,,,,СПЕЦИАЛИСТ ПО ЭЛЕКТРОНИКЕ БОРТОВЫХ КОМПЛЕКСОВ УПРАВЛЕНИЯ
,,A,,,Документальное и операционно-техническое сопровождение процесса создания и эксплуатации электронных средств и электронных систем бортовых комплексов управления (БКУ)
,,,A/01.5,,Документальное сопровождение процесса создания и эксплуатации электронных средств и электронных систем БКУ
,,,,ТД.1,Оформление конструкторской документации на электронные средства и электронные системы БКУ
,,,,ТД.2,Оформление отчетной документации по результатам исследований и отработки новых электронных средств и электронных систем БКУ
,,,,У.5,"Использовать справочные материалы для корректного оформления и составления конструкторской, отчетной и сопроводительной документации"
,,,,У.7,"Работать в информационно-коммуникационном пространстве, выполнять расчеты с использованием программных средств общего и специального назначения"
,,,A/02.5,,Операционное сопровождение процесса создания электронных средств и электронных систем БКУ
,,,,ТД.2,Прикладная отработка и отладка узлов электронных средств и электронных систем БКУ
,,,,Зн.4,Стандарты единой системы технологической документации (ЕСТД) и ЕСКД
,,,A/03.5,,Техническое обслуживание и ремонт электронных средств и электронных систем БКУ
,,,,У.7,Использовать справочные материалы для корректного технического обслуживания и ремонта электронных средств и электронных систем БКУ
,,B,,,Создание электронных средств и электронных систем БКУ
,,,B/01.6,,Проведение исследований электронных средств и электронных систем БКУ
,,,,ТД.4,Составление сопроводительной и отчетной документации при проведении исследований электронных средств и электронных систем БКУ
,,,,ТД.5,Выполнение научно-исследовательских и опытно-конструкторских работ электронных средств и электронных систем БКУ
,,,,У.1,"Осуществлять поиск, хранение, обработку и анализ информации из различных источников и баз данных, применяя современные информационные, компьютерные и сетевые технологии"
,,,,У.11,"Осваивать новые образцы программных, технических средств и информационных технологий"
,,,,Зн.7,Аналоговая и цифровая схемотехника
,,,B/02.6,,Проектирование электронных средств и электронных систем БКУ и осуществление контроля над их изготовлением
,,,,ТД.8,Составление сопроводительной и отчетной документации при проектировании электронных средств и электронных систем БКУ
,,,,Зн.1,Языки программирования и языки поведенческого описания
,,,,Зн.6,Аналоговая и цифровая схемотехника
,,,,Зн.7,Электротехника и электроника
,,,B/03.6,,Испытание опытных образцов и модернизация электронных средств и электронных систем БКУ
,,,,ТД.3,Сопровождение серийно изготавливаемых электронных средств и электронных систем БКУ и их модернизация
,,,B/04.6,,Планирование и контроль технического обслуживания и ремонта электронных средств и электронных систем БКУ
,,,,ТД.4,Составление сопроводительной и отчетной документации по эксплуатации электронных средств и электронных систем БКУ
,,,,Зн.5,Цифровая и аналоговая электроника
,40.040   ,,,,ИНЖЕНЕР В ОБЛАСТИ РАЗРАБОТКИ ЦИФРОВЫХ БИБЛИОТЕК СТАНДАРТНЫХ ЯЧЕЕК И СЛОЖНОФУНКЦИОНАЛЬНЫХ БЛОКОВ
,,A,,,Разработка электрических схем и характеризация стандартных ячеек библиотеки
,,,A/01.6,,Разработка электрических схем стандартных ячеек библиотеки
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов
,,,A/02.6,,Определение основных статических и динамических характеристик стандартных ячеек библиотеки
,,,,У.5,Моделировать электрические схемы основных цифровых элементов
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов
,,,A/03.6,,"Характеризация стандартных ячеек библиотеки, генерация файлов"
,,,,У.2,Проектировать электрические схемы тестирования логических элементов
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов
,,B,,,"Разработка топологии, физического представления стандартных ячеек библиотеки"
,,,B/01.6,,Размещение и соединение элементов электрических схем стандартных ячеек библиотеки
,,,,У.6,Читать электрические схемы
,,,,Зн.4,Основные принципы построения электрических схем простейших элементов
,,C,,,"Разработка поведенческих описаний моделей стандартных ячеек, разработка технической документации на состав библиотеки стандартных ячеек"
,,,C/01.6,,Поведенческое описание и тестирование моделей стандартных ячеек библиотеки
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов
,,,,Зн.3,Основы построения цифровых устройств
,,,,Зн.7,"Специализированная система автоматизированного проектирования (моделирование и верификация моделей, написанных на языках описания аппаратуры)"
,,,C/02.6,,"Функционально-логическое моделирование стандартных ячеек библиотеки, проверка соответствия функционирования поведенческих моделей и электрических схем стандартных ячеек библиотеки"
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов
,,,C/03.6,,Разработка технической документации на библиотеку стандартных ячеек
,,,,Зн.4,Основные принципы построения электрических схем простейших элементов
ПК-3,,,,,"Осуществлять техническую поддержку процессов создания, тестирования, отладки, модификации и эксплуатации программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений"
,06.003,,,,АРХИТЕКТОР ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ
,,A,,,Создание вариантов архитектуры программного средства
,,,A/06.4,,Определение перечня возможных протоколов взаимодействия компонентов
,,,,ТД.1,Описание возможных протоколов взаимодействия компонентов с оценкой современного состояния предлагаемых протоколов
,,,,ТД.2,Обоснование методов или методологий проведения работы
,,,A/07.4,,Определение перечня возможных механизмов авторизации
,,,,ТД.1,"Описание возможных механизмов авторизации, включая оценку современного состояния предлагаемых механизмов"
,,,,ТД.2,Обоснование методов или методологий проведения работы
,,,,ТД.4,"Формирование оценки результатов исследований, включающей оценку полноты перечня возможных механизмов авторизации, и предложений по дальнейшим направлениям работ"
,,,,У.2,Применять современные разработки и тенденции в области проектирования ПО в профессиональной деятельности
,,,,Зн.1,Механизмы авторизации
,,,,Зн.2,Современные разработки и тенденции в области проектирования ПО
,,,,Зн.4,"Методы разработки, анализа и проектирования ПО"
,,,A/13.4,,Определение входных-выходных данных каждого компонента и программного средства в целом
,,,,ТД.1,Определение перечня входных-выходных данных каждого компонента и программного средства в целом
,,,,ТД.2,"Описание входных-выходных данных каждого компонента, включающие идентификацию данных, объем данных, тип данных, атрибутивную часть данных"
,,,,ТД.3,Определение взаимосвязи входных-выходных данных каждого компонента и программного средства в целом
,,,,У.1,Описывать входные-выходные данные компонентов
,,,,У.2,Проводить исследования и анализ
,,,,Зн.1,Входные-выходные данные компонентов и программного средства
