Индекс,,,,,Наименование,Компетенции,Требования к образованию
,,,,ТД.5,"Обработка комментариев и замечаний архитектора более высокого уровня квалификации и заинтересованных лиц с дальнейшим выполнением необходимых доработок описания алгоритмов компонентов, включая методы и схемы",ПК-1,
,,,,У.1,Описывать и использовать математические методы,ПК-1; ПК-3,
,,,,У.2,Проводить исследования и анализ,ПК-1,
,,,,Зн.1,"Математические методы, в том числе допущения и ограничения",ПК-1,
,,,,Зн.2,Алгоритмы компонентов,ПК-1; ПК-3,
,,,,Зн.3,Методы организации входных-выходных данных,ПК-1,
,,B,,,Документирование архитектуры программных средств,ПК-2; ПК-4,Высшее образование - программы бакалавриата
,,,B/01.4,,Разработка документации программных средств в своей части,ПК-2; ПК-4,
,,,,ТД.1,Описание информации по программным средствам в регламентирующих документах,ПК-2; ПК-4,
,,,,У.1,Писать документацию,ПК-2; ПК-4,
,,,,Зн.1,Требования по написанию документации,ПК-2; ПК-4,
,,,B/02.4,,Поддержка изменений в документации,ПК-2; ПК-4,
,,,,ТД.1,"Внесение изменений, замечаний, корректировок в регламентирующие документы",ПК-2; ПК-4,
,,,,У.1,Писать документацию,ПК-2; ПК-4,
,,,,Зн.1,Требования к написанию документации,ПК-2; ПК-4,
,,C,,,Реализация программных средств,ПК-1; ПК-2; ПК-3; ПК-4,Высшее образование - программы бакалавриата
,,,C/01.4,,Анализ качества кода: - анализ зависимостей; - статический анализ кода,ПК-1; ПК-4,
,,,,ТД.1,Анализ требований к программным средствам,ПК-1,
,,,,ТД.2,Анализ зависимостей кода,ПК-1,
,,,,ТД.3,Статистический анализ кода,ПК-1; ПК-4,
,,,,У.1,Анализировать требования к программным средствам,ПК-1; ПК-4,
,,,,У.2,Собирать исходную информацию,ПК-1,
,,,,Зн.1,Требования к программным средствам,ПК-1,
,,,,Др.1,Межличностное общение,ПК-1,
,,,C/02.4,,Испытания создаваемого программного средства и его компонентов,ПК-1; ПК-3; ПК-4,
,,,,ТД.1,Проектирование программных средств и архитектуры программных средств,ПК-1; ПК-3; ПК-4,
,,,,У.1,Использовать современные CASE-средства,ПК-3; ПК-4,
,,,,У.2,Собирать исходную информацию,ПК-1; ПК-3,
,,,,Зн.1,Типы компонентов,ПК-1,
,,,,Зн.2,"Методы разработки, анализа и проектирования ПО",ПК-1,
,,,,Др.1,Межличностное общение,ПК-1,
,,,C/03.4,,Технические и управленческие ревизии создаваемого программного средства,ПК-2; ПК-3; ПК-4,
,,,,ТД.1,Конструирование программных средств,ПК-2,
,,,,У.1,Проектировать программные средства,ПК-3,
,,,,Зн.1,"Методы разработки, анализа и проектирования ПО",ПК-4,
,,E,,,Оценка и выбор варианта архитектуры программного средства,ПК-1; ПК-2; ПК-3,Высшее образование - программы бакалавриата
,,,E/01.5,,Синтез требований к программному продукту и декомпозиция программного средства на компоненты,ПК-1,
,,,,ТД.1,Сбор требований к программному продукту,ПК-1,
,,,,ТД.2,Преобразование программных средств на компоненты и программные блоки,ПК-1,
,,,,У.1,Декомпозировать программные средства на компоненты,ПК-1,
,,,,Зн.1,Требования к программному продукту,ПК-1,
,,,,Зн.2,Типы компонентов и программных блоков,ПК-1,
,,,E/04.5,,Оценка и выбор архитектуры развертывания каждого компонента,ПК-3,
,,,,ТД.1,"Формулировка задач выбора архитектуры развертывания каждого компонента, включая цели, предположения и ограничения",ПК-3,
,,,,Зн.1,Архитектура развертывания компонентов,ПК-3,
,,,E/12.5,,Оценка и выбор стиля написания кода,ПК-1,
,,,,ТД.1,"Формулировка задач выбора стиля написания кода, включая цели, предположения и ограничения",ПК-1,
,,,,У.1,Применять современные разработки и тенденции в области проектирования ПО в профессиональной деятельности,ПК-1,
,,,,У.2,Выбирать код для программного средства,ПК-1,
,,,,Зн.1,Стили написания кода,ПК-1,
,,,,Зн.4,"Основные концепции и атрибуты качества программного обеспечения (надежности, безопасности, удобства использования)",ПК-1,
,,,E/19.5,,Постановка задачи на разработку компонентов,ПК-1; ПК-2,
,,,,ТД.1,"Описание постановки задачи на разработку компонентов (характеристики, назначение, периодичность и продолжительность решения, описание входных данных)",ПК-1; ПК-2,
,,,,ТД.2,"Описание алгоритм решений поставленной задачи, выходных сообщений",ПК-1; ПК-2,
,,,,У.1,Ставить задачи для разработки компонентов,ПК-1; ПК-2,
,,,,Зн.1,Алгоритмы решения разработки компонентов,ПК-1; ПК-2,
,,F,,,Контроль реализации программного средства,ПК-1; ПК-2; ПК-3,Высшее образование - программы бакалавриата
,,,F/01.5,,Идентификация и регистрация возможных проблем из-за деталей реализации компонент программных средств,ПК-1; ПК-2; ПК-3,
,,,,ТД.3,"Определение функций, реализуемых программным средством",ПК-1; ПК-2,
,,,,ТД.6,Прочтение программных кодов,ПК-2,
,,,,У.2,Читать программные коды,ПК-1; ПК-2,
,,,,Зн.3,"Основные концепции и атрибуты качества программного обеспечения (надежности, безопасности, удобства использования)",ПК-1; ПК-3,
,,,,Зн.4,Технические требования к программному средству,ПК-2,
,,,,Зн.6,Программные коды,ПК-1,
,,G,,,Контроль сопровождения программных средств,ПК-2,Высшее образование - программы бакалавриата
,,,G/02.5,,"Идентификация возможных проблем, путей их решения",ПК-2,
,,,,У.1,Прогнозировать события,ПК-2,
,,I,,,Утверждение и контроль методов и способов взаимодействия программного средства со своим окружением,ПК-3,Высшее образование - программы магистратуры
,,,I/04.6,,Выбор протоколов взаимодействия компонентов,ПК-3,
,,,,ТД.1,"Формулирование задач выбора протоколов взаимодействия компонентов, включая цели, предположения и ограничения",ПК-3,
,,,,У.1,Оценивать и корректировать компоненты,ПК-3,
,,,,Зн.1,Протоколы взаимодействия компонент,ПК-3,
,06.026,,,,СИСТЕМНЫЙ АДМИНИСТРАТОР ИНФОРМАЦИОННО-КОММУНИКАЦИОННЫХ СИСТЕМ,ПК-3; ПК-4,
,,C,,,Управление программно-аппаратными средствами информационных служб инфокоммуникационной системы организации,ПК-3; ПК-4,"Высшее образование - бакалавриат
или
Среднее профессиональное образование - программы подготовки специалистов среднего звена
Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области компьютерных и телекоммуникационных технологий"
,,,C/01.6,,"Установка персональных компьютеров, учрежденческой автоматической телефонной станции (УАТС), подключение периферийных и абонентских устройств",ПК-3,
,,,,ТД.8,Инсталляция программного обеспечения для поддержки работы пользователей,ПК-3,
,,,,ТД.9,Настройка программного обеспечения для поддержки работы пользователей,ПК-3,
,,,,Зн.1,"Общие принципы функционирования аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-3,
,,,C/02.6,,Управление доступом к программно-аппаратным средствам информационных служб инфокоммуникационной системы,ПК-4,
,,,,ТД.1,Назначение прав доступа пользователей к программно-аппаратным средствам информационных служб инфокоммуникационной системы,ПК-4,
,,,,ТД.2,Изменение прав доступа пользователей к программно-аппаратным средствам информационных служб инфокоммуникационной системы,ПК-4,
,,,,ТД.3,Применение специальных процедур по управлению правами доступа пользователей к программно-аппаратным средствам информационных служб инфокоммуникационной системы,ПК-4,
,,,,ТД.4,Контроль соблюдения прав доступа пользователей к программно-аппаратным средствам информационных служб инфокоммуникационной системы,ПК-4,
,,,,ТД.5,Техническая поддержка пользователей в пределах выделенных зон ответственности по вопросам функционирования программного обеспечения на конечных устройствах пользователей,ПК-4,
,,,,У.1,Идентифицировать права пользователей по доступу к программно-аппаратным средствам информационных служб инфокоммуникационной системы и/или ее составляющих,ПК-4,
,,,,У.2,Применять специальные программно-аппаратные средства контроля доступа пользователей к программно-аппаратным средствам информационных служб инфокоммуникационной системы,ПК-4,
,,,,У.3,"Пользоваться нормативно-технической документацией на администрируемые аппаратные, программно-аппаратные и программные средства",ПК-4,
,,,,Зн.1,"Общие принципы функционирования аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.2,"Архитектуры аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.3,Инструкции по установке администрируемого телекоммуникационного оборудования,ПК-4,
,,,,Зн.4,Инструкции по эксплуатации администрируемого телекоммуникационного оборудования,ПК-4,
,,,,Зн.5,Инструкции по установке администрируемого компьютерного оборудования,ПК-4,
,,,,Зн.6,Инструкции по эксплуатации администрируемого компьютерного оборудования,ПК-4,
,,,,Зн.7,Инструкции по установке администрируемого сетевого оборудования,ПК-4,
,,,,Зн.8,Инструкции по эксплуатации администрируемого сетевого оборудования,ПК-4,
,,,,Зн.9,Инструкции по установке администрируемого периферийного оборудования,ПК-4,
,,,,Зн.11,Инструкции по установке администрируемого абонентского оборудования,ПК-4,
,,,,Зн.12,Инструкции по эксплуатации администрируемого абонентского оборудования,ПК-4,
,,,,Зн.13,Принципы установки и настройки программного обеспечения,ПК-4,
,,,,Зн.14,Регламенты проведения профилактических работ на администрируемой инфокоммуникационной системе,ПК-4,
,,,,Зн.15,"Локальные правовые акты по организации доступа к программно-аппаратным средствам информационных служб, действующие в организации",ПК-4,
,,,,Зн.16,Английский язык на уровне чтения технической документации в области информационных и компьютерных технологий,ПК-4,
,,,C/03.6,,"Мониторинг событий, возникающих в процессе работы инфокоммуникационной системы",ПК-4,
,,,,ТД.1,Наблюдение за работой инфокоммуникационной системы и/или ее составляющих,ПК-4,
,,,,ТД.2,Обнаружение отклонений от штатного режима работы инфокоммуникационной системы и/или ее составляющих,ПК-4,
,,,,ТД.3,Анализ отклонений от штатного режима работы инфокоммуникационной системы и/или ее составляющих,ПК-4,
,,,,ТД.4,Устранение возникающих отклонений от штатного режима работы инфокоммуникационной системы и/или ее составляющих,ПК-4,
,,,,Зн.1,"Типовые ошибки, возникающие при работе инфокоммуникационной системы, признаки их проявления при работе и методы устранения",ПК-4,
,,,,Зн.2,"Общие принципы функционирования аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.3,"Архитектуры аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.4,Инструкции по установке администрируемого телекоммуникационного оборудования,ПК-4,
,,,,Зн.5,Инструкции по эксплуатации администрируемого телекоммуникационного оборудования,ПК-4,
,,,,Зн.6,Инструкции по установке администрируемого компьютерного оборудования,ПК-4,
,,,,Зн.7,Инструкции по эксплуатации администрируемого компьютерного оборудования,ПК-4,
,,,,Зн.8,Инструкции по установке администрируемого сетевого оборудования,ПК-4,
,,,,Зн.9,Инструкции по эксплуатации администрируемого сетевого оборудования,ПК-4,
,,,,Зн.10,Инструкции по установке администрируемого периферийного оборудования,ПК-4,
,,,,Зн.11,Инструкции по эксплуатации администрируемого периферийного оборудования,ПК-4,
,,,,Зн.12,Инструкции по установке администрируемого абонентского оборудования,ПК-4,
,,,,Зн.13,Инструкции по эксплуатации администрируемого абонентского оборудования,ПК-4,
,,,,Зн.14,Принципы установки и настройки программного обеспечения,ПК-4,
,,,,Зн.15,Регламенты проведения профилактических работ на администрируемой инфокоммуникационной системе,ПК-4,
,,,,Зн.16,"Локальные правовые акты по организации доступа к программно-аппаратным средствам информационных служб, действующие в организации",ПК-4,
,,,,Зн.17,"Требования охраны труда при работе с аппаратными, программно-аппаратными и программными средствами администрируемой инфокоммуникационной системы",ПК-4,
,,,C/04.6,,Восстановление работоспособности программно-аппаратных средств инфокоммуникационной системы и/или ее составляющих после сбоев,ПК-4,
,,,,ТД.1,Анализ сбоев функционирования программно-аппаратных средств инфокоммуникационной системы и/или ее составляющих,ПК-4,
,,,,ТД.2,Выявление причин возникновения аварийных ситуаций на программно-аппаратных средствах инфокоммуникационной системы и/или ее составляющих,ПК-4,
,,,,ТД.3,Разработка схемы и процедуры послеаварийного восстановления работоспособности инфокоммуникационной системы и/или ее составляющих,ПК-4,
,,,,ТД.4,Фиксирование причины и результатов восстановления работоспособности программно-аппаратных средств инфокоммуникационной системы и/или ее составляющих,ПК-4,
,,,,Зн.1,Правила и методы технического обслуживания программно-аппаратных средств инфокоммуникационной системы и/или ее составляющих,ПК-4,
,,,,Зн.2,Правила и методы ремонта программно-аппаратных средств инфокоммуникационной системы и/или ее составляющих,ПК-4,
,,,,Зн.3,Методы и средства восстановления работоспособности программно-аппаратных средств инфокоммуникационной системы и/или ее составляющих после сбоев,ПК-4,
,,,,Зн.4,"Общие принципы функционирования аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.5,"Архитектуры аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.6,Инструкции по установке администрируемого телекоммуникационного оборудования,ПК-4,
,,,,Зн.7,Инструкции по эксплуатации администрируемого телекоммуникационного оборудования,ПК-4,
,,,,Зн.8,Инструкции по установке администрируемого компьютерного оборудования,ПК-4,
,,,,Зн.9,Инструкции по эксплуатации администрируемого компьютерного оборудования,ПК-4,
,,,,Зн.10,Инструкции по установке администрируемого сетевого оборудования,ПК-4,
,,,,Зн.11,Инструкции по эксплуатации администрируемого сетевого оборудования,ПК-4,
,,,,Зн.12,Инструкции по установке администрируемого периферийного оборудования,ПК-4,
,,,,Зн.13,Инструкции по эксплуатации администрируемого периферийного оборудования,ПК-4,
,,,,Зн.14,Инструкции по установке администрируемого абонентского оборудования,ПК-4,
,,,,Зн.15,Инструкции по эксплуатации администрируемого абонентского оборудования,ПК-4,
,,,,Зн.16,Принципы установки и настройки программного обеспечения,ПК-4,
,,,,Зн.17,Регламенты проведения профилактических работ на администрируемой инфокоммуникационной системе,ПК-4,
,,,,Зн.18,"Локальные правовые акты по организации доступа к программно-аппаратным средствам информационных служб, действующие в организации",ПК-4,
,,,,Зн.19,"Требования охраны труда при работе с аппаратными, программно-аппаратными и программными средствами администрируемой инфокоммуникационной системы",ПК-4,
,,,C/05.6,,"Протоколирование событий, возникающих в процессе работы инфокоммуникационной системы",ПК-4,
,,,,ТД.1,Фиксация отклонений от штатного режима работы инфокоммуникационной системы,ПК-4,
,,,,ТД.2,Ведение журнала учета отклонений от штатного режима работы инфокоммуникационной системы,ПК-4,
,,,,ТД.3,"Информирование сотрудников, отвечающих за устранение отклонений от штатного режима работы инфокоммуникационной системы",ПК-4,
,,,,Зн.1,"Техническая терминология, отражающая состояние инфокоммуникационной системы и ошибки в ее работе",ПК-4,
,,,,Зн.2,"Технические инструкции по работе с установленным аппаратным, программно-аппаратным и программным обеспечением и оборудованием",ПК-4,
,,,,Зн.4,Регламенты проведения профилактических работ на администрируемой инфокоммуникационной системе,ПК-4,
,,,C/06.6,,"Ввод в эксплуатацию аппаратных, программно-аппаратных и программных средств инфокоммуникационной инфраструктуры совместно с представителями поставщиков оборудования",ПК-4,
,,,,ТД.1,"Разработка правил приемки, монтажа и испытания вводимых в эксплуатацию новых аппаратных, программно-аппаратных и программных средств инфокоммуникационной инфраструктуры",ПК-4,
,,,,ТД.3,Проверка соответствия выполненных работ требованиям проектной документации,ПК-4,
,,,,Зн.1,Правила приемки и сдачи выполненных работ,ПК-4,
,,,,Зн.2,Основы проектирования инфокоммуникационных систем,ПК-4,
,,,,Зн.3,Основы монтажа инфокоммуникационных систем,ПК-4,
,,,,Зн.4,Инструкции по установке программно-технических средств,ПК-4,
,,,,Зн.5,Инструкции по эксплуатации программно-технических средств,ПК-4,
,,D,,,Администрирование сетевой подсистемы инфокоммуникационной системы организации,ПК-4,"Высшее образование - бакалавриат
или
Среднее профессиональное образование - программы подготовки специалистов среднего звена
Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области компьютерных и телекоммуникационных технологий"
,,,D/01.6,,Настройка сетевых элементов инфокоммуникационной системы,ПК-4,
,,,,ТД.1,Установка сетевых элементов инфокоммуникационной системы,ПК-4,
,,,,ТД.2,Подключение сетевых элементов инфокоммуникационной системы,ПК-4,
,,,,ТД.3,Конфигурирование операционных систем сетевых элементов инфокоммуникационной системы,ПК-4,
,,,,ТД.4,Проверка корректности функционирования администрируемых сетевых устройств и программного обеспечения,ПК-4,
,,,,ТД.5,Документирование первоначальных и измененных параметров установки,ПК-4,
,,,,ТД.6,"Протоколирование событий, возникающих в процессе функционирования администрируемых сетевых устройств и программного обеспечения",ПК-4,
,,,,ТД.7,Установка систем управления сетью,ПК-4,
,,,,ТД.8,Настройка сетевого программного обеспечения,ПК-4,
,,,,ТД.9,Конфигурирование базовых параметров и сетевых интерфейсов,ПК-4,
,,,,ТД.10,"Конфигурирование протоколов сетевого, канального и транспортного уровня",ПК-4,
,,,,ТД.11,Проверка функционирования устройства после установки и настройки программного обеспечения,ПК-4,
,,,,ТД.12,Конфигурирование протоколов управления,ПК-4,
,,,,ТД.13,"Установка специального программного обеспечения для учета конфигураций, слежения за производительностью сетевой системы и защиты от несанкционированного доступа",ПК-4,
,,,,ТД.14,"Настройка специального программного обеспечения для учета конфигураций, слежения за производительностью сетевой системы и защиты от несанкционированного доступа",ПК-4,
,,,,ТД.15,Документирование базовой конфигурации сетевых элементов инфокоммуникационной системы,ПК-4,
,,,,Зн.3,Модель Международной организации по стандартизации (ISO) для управления сетевым трафиком,ПК-4,
,,,,Зн.4,Модели Института инженеров по электротехнике и радиоэлектронике (IEEE),ПК-4,
,,,,Зн.5,"Модели информационно-телекоммуникационной сети ""Интернет""",ПК-4,
,,,,Зн.6,Способы коммуникации процессов операционных систем,ПК-4,
,,,,Зн.7,"Протоколы канального, сетевого, транспортного и прикладного уровней модели взаимодействия открытых систем",ПК-4,
,,,,Зн.8,Инструкции по установке администрируемых сетевых устройств,ПК-4,
,,,,Зн.9,Инструкции по эксплуатации администрируемых сетевых устройств,ПК-4,
,,,,Зн.10,Инструкции по установке администрируемого программного обеспечения,ПК-4,
,,,,Зн.11,Инструкции по эксплуатации администрируемого программного обеспечения,ПК-4,
,,,,Зн.12,Регламенты проведения профилактических работ на администрируемой инфокоммуникационной системе,ПК-4,
,,,,Зн.13,Английский язык на уровне чтения технической документации в области информационных и компьютерных технологий,ПК-4,
,,,,Зн.14,Требования охраны труда при работе с сетевой аппаратурой администрируемой сети,ПК-4,
,,,D/02.6,,Контроль использования ресурсов сетевых устройств и программного обеспечения,ПК-4,
,,,,ТД.1,"Оценка производительности критических приложений, наиболее влияющих на производительность сетевых устройств и программного обеспечения в целом",ПК-4,
,,,,ТД.2,Планирование требуемой производительности сетевых устройств и программного обеспечения администрируемой сети,ПК-4,
,,,,ТД.3,Оценка требуемой производительности сетевых устройств и программного обеспечения администрируемой сети,ПК-4,
,,,,ТД.4,Ведение специального документа об оценке готовности системы,ПК-4,
,,,,ТД.5,Использование утилит операционных систем,ПК-4,
,,,,ТД.6,Установка дополнительных программных продуктов и их параметризация,ПК-4,
,,,,Зн.1,"Общие принципы функционирования аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.2,"Архитектуры аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.3,Кабельные и сетевые анализаторы,ПК-4,
,,,,Зн.4,Метрики производительности,ПК-4,
,,,,Зн.5,"Протоколы канального, сетевого, транспортного и прикладного уровней модели взаимодействия открытых систем",ПК-4,
,,,,Зн.6,Модель взаимодействия открытых систем (OSI) ISO,ПК-4,
,,,,Зн.7,Инструкции по установке администрируемых сетевых устройств,ПК-4,
,,,,Зн.8,Инструкции по эксплуатации администрируемых сетевых устройств,ПК-4,
,,,,Зн.9,Инструкции по установке администрируемого программного обеспечения,ПК-4,
,,,,Зн.10,Инструкции по эксплуатации администрируемого программного обеспечения,ПК-4,
,,,,Зн.11,Регламенты проведения профилактических работ на администрируемой инфокоммуникационной системе,ПК-4,
,,,,Зн.12,Требования охраны труда при работе с сетевой аппаратурой администрируемой сети,ПК-4,
,,,D/03.6,,Управление безопасностью сетевых устройств и программного обеспечения,ПК-4,
,,,,ТД.1,Настройка параметров управления безопасностью операционных систем сетевых устройств,ПК-4,
,,,,ТД.2,Установка специальных средств управления безопасностью сетевых устройств администрируемой сети,ПК-4,
,,,,ТД.3,Установка средств обеспечения безопасности удаленного доступа,ПК-4,
,,,,ТД.4,Настройка средств обеспечения безопасности удаленного доступа,ПК-4,
,,,,Зн.1,"Общие принципы функционирования аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.2,"Архитектуры аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.9,"Протоколы канального, сетевого, транспортного и прикладного уровней модели взаимодействия открытых систем",ПК-4,
,,,,Зн.12,Модель ISO для управления сетевым трафиком,ПК-4,
,,,,Зн.13,Модели IEEE,ПК-4,
,,,,Зн.14,"Модели информационно-телекоммуникационной сети ""Интернет""",ПК-4,
,,,D/04.6,,Диагностика отказов и ошибок сетевых устройств и программного обеспечения,ПК-4,
,,,,ТД.1,Поиск отказов сетевых устройств и программного обеспечения,ПК-4,
,,,,ТД.2,Устранение отказов сетевых устройств и программного обеспечения,ПК-4,
